Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
429730,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,Acuerdo de 17/12/2018 del Consejo de Administración del Consorcio de Santiago por el que se aprueban las bases reguladoras de la concesión de subvención directa al Concello de Santiago para la intervención en el sendero rio sarela,
429719,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,Acuerdo de 17/12/2018 del Consejo de Administración del Consorcio de Santiago de aprueban las bases reguladoras de la concesión de subvención directa al Instituto de Enseñanza Secundaria Arcebispo Xelmírez I para la restauración de fondos bibliografico,
429716,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,AGENCIA ESTATAL DE INVESTIGACIÓN,18/12/2018,Resolución de la Presidencia de la Agencia Estatal de Investigación por la que se aprueba la convocatoria 2018 de ayudas para personal técnico de apoyo del Plan Estatal 2017-2020,
429714,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,Acuerdo de 17/12/2018 del Consejo de Administración del Consorcio de Santiago por el que se aprueban las bases reguladoras de la concesión de subvención directa a la Fundación Granell para la realización de actividades culturales en el ejercicio 2018,
429710,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,AGENCIA ESTATAL DE INVESTIGACIÓN,18/12/2018,Resolución de la Presidencia de la Agencia Estatal de Investigación, por la que se aprueba la convocatoria 2018 de ayudas a Contratos Juan de la Cierva incorporación del Plan Estatal 2017-2020,
429708,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,AGENCIA ESTATAL DE INVESTIGACIÓN,18/12/2018,Resolución de la Presidencia de la Agencia Estatal de Investigación, por la que se aprueba la convocatoria 2018 de ayudas a Contratos Juan de la Cierva formacióndel Plan Estatal 2017-2020,
429701,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,AGENCIA ESTATAL DE INVESTIGACIÓN,18/12/2018,Resolución de la Presidencia de la Agencia Estatal de Investigación por la que se aprueba la convocatoria 2018 de ayudas Contratos Ramón y Cajal del Plan Estatal 2017-2020,
429693,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,Acuerdo de 17/12/ 2018 del Consejo de Administración del Consorcio de Santiago por el que se aprueban las bases reguladoras de la concesión de subvención directa a la Universidad de Santiago de Compostela USC parael desarrollo del Programa Conciencia2018,
429686,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,Acuerdo de 17/12/2018 del Consejo de Administración del Consorcio de Santiago por el que se aprueban las bases reguladoras de la concesión de subvención directa a Música en Compostela para el Curso Universitario de Música en Compostela 2018,
429676,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,Acuerdo de 17 de diciembre de 2018 del Consejo de Administración del Consorcio de Santiago por el que se aprueban las bases reguladoras de la concesión de subvención directa al Auditorio de Galicia para la realización del Actividades Culturales en el ejer,
429673,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,18/12/2018,Convenio entre el Ministerio para la Transición Ecológica, SEE y el Ayuntamiento de Teguise. Subvención nominativa en los PGE, cuyo objeto es la adquisción de vehículos eléctricos e instalación de puntos de recarga.,
429670,NO,ESTADO,MINISTERIO DE VIVIENDA Y AGENDA URBANA,DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA,18/12/2018,Convenio Universidad Politecnica de Madrid,
429625,NO,ESTADO,MINISTERIO DE VIVIENDA Y AGENDA URBANA,DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA,18/12/2018,Convenio Sociedad Mercantil Estatal de aAcción Cultural, S.A.,
429624,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,18/12/2018,ACUERDO DEL CONSEJO DE ADMINISTRACION POR EL QUE SE APRUEBA LA CONCESIÓN DIRECTA AL AUDITORIO DE GALICIA PARA CINEUROPA,
429614,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,18/12/2018,CONVENIO ENTRE FOMENTO Y LA OFICINA REGIONAL PARA AMERICA LATINA Y EL CARIBE DEL PROGRAMA DE LAS NACIONES UNIDAS PARA LOS ASENTAMIENTOS HUMANOS (ROLAC). AÑO 2018.,
429600,NO,ESTADO,MINISTERIO DE SANIDAD,ORGANIZACIÓN NACIONAL DE TRASPLANTES,18/12/2018,Resolución de 13 de Diciembre de 2018, de la Organización Nacional de Trasplantes, por la que se convoca proceso selectivo para la concesión de una beca intramural para Licenciado/a en Periodismo, Comunicación, Marketing o Publicidad y Relaciones Públicas,
429559,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,17/12/2018,Resolución de 24 de mayo de 2012, de la Secretaría de Estado de Cultura, por la que se convocan las becas FormARTE, correspondientes al curso 2012/2013,
429558,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,17/12/2018,Orden CUL/3471/2010, de 29 de diciembre, por la que se convocan las becas FormARTE correspondientes al año 2011,
429557,NO,ESTADO,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,DELEGACIÓN DEL GOBIERNO EN CANARIAS,17/12/2018,Ley 6/2018, de 3 de julio, de Presupuestos Generales del Estado para el año 2018,
429485,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE CUENCA,17/12/2018,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Universidad Internacional Menéndez Pelayo, sede de Cuenca, en el ejercicio 2018.,
429480,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE CUENCA,17/12/2018,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Junta de Cofradías de la Sem,
429460,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE CUENCA,17/12/2018,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Fundación Patronato de la Semana de Música Religiosa de Cuenca, en el ejercicio 2018.,
429453,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE CUENCA,17/12/2018,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Fundación de Cultura Ciudad de Cuenca en el ejercicio 2018.,
429451,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Marruecos 2018 Salud ASTICUDE Mejora salud población migrante,
429450,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Palestina 2018 Agricultura UAWC Mejora de la situación económica de agricultores vulnerables,
429449,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental EUROCLIMA+ 2018 Cambio climático SENAMHI Bolivia,
429448,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental México 2018 Fondo Mixto de Cooperación Técnica y Científica España-México,
429447,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental INTERCOONECTA 2018. PNUD. Proyecto construcción combo cohesión social América Latina y Caribe,
429446,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental AQUAFUND 2018,
429445,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Panamá 2018 Energía ACCIONA Luz en casa Ngäbe-Buglé,
429444,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Costa Rica 2018 Derechos humanos Servicio Jesuita para Migrantes Fortalecimiento de la respuesta hum,
429443,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Nicaragua 2018 Gobernabilidad Apoyo atención física y psiquica víctimas violencia 4 departamentos,
429442,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental EUROCLIMA+ 2018 Ecuador Medio Ambiente CIIFEN,
429441,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Siria 2018 SecAH UNRWA ayuda en efectivo a población palestina,
429440,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental EUROCLIMA+ Ecuador 2018 Gobernabilidad GPL Reduccion vulnerabilidad población,
429439,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Cuba 2018 Ayuda en especie Grupo de Trabajo Estatal BH Agua Soluciones técnicas al tratamiento agua,
429438,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Mali 2018 género FNUAP violencia sexual mujeres,
429437,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Comunicadoras indígenas y afrodescendientes,
429436,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental EUROCLIMA+ 2018 Prevencion desastres SG/SICA,
429435,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental El Salvador 2018 Género CFDL,
429434,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental El Salvador 2018. Instrumentos para la gestión ambiental sustentable del sector productivo,
429432,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Ecuador Inclusión educativa CONADIS(2017-2021),
429431,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental El Salvador 2018. Aportación al FFID El Salvador 2018,
429430,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental ARAUCLIMA 2018 Cooperación Triangular-M. medio ambiente Brasil-Reducción Desertificación,
429429,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Senegal 2018 ONP Estadísticas género especie,
429428,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 COLOMBIA PROYECTO FFUE COLOMBIA Desarrollo Territorial en el Departamento de Nariño en condicio,
429427,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 COOPERACIÓN TRIANGUALAR ESPAÑA  URUGUAY PANAMA,
429426,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Cuba 2018 Ayuda en especie INRH Apoyo gestión sostenible recursos hídricos,
429425,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 COOPERACIÓN TRIANGULAR ESPAÑA URUGUAY BOLIVIA,
429424,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 GUATEMALA Programa Nacional de Escuelas Taller,
429423,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Senegal 2018 OFOR Agua potable Especie,
429422,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 COLOMBIA Apoyo Oficina del Alto Comisionado de las Naciones Unidas Derechos Humanos (ONU Derech,
429421,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Senegal 2018 OFOR Agua potable dineraria,
429420,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Senegal 2018 ONP Estadíticas género dineraria,
429419,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Senegal 2018 Asociación Dynamique de Paix Paz en Casamance,
429418,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 COOPERACIÓN TRIANGULAR Colombia-El Salvador,
429417,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental ARAUCLIMA-2018-Ministério do Meio Ambiente (MMA) de Brasil.-Reducción desertificación en Brasil y Tr,
429416,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Senegal 2018 UNICEF- Registro Civil,
429415,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental  Mauritania 2018 Desarrollo rural-seguridad alimentaria Distribución de pescado,
429414,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 COLOMBIA Sistema Nacional de Escuelas Taller,
429413,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental INTERCOONECTA 2018. FAO. Proyecto Gestión Riesgo Desastres y Agricultura Adaptada Clima región SICA,
429412,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental América Latina 2018 Gobernabilidad OEA Cooperación España-OEA,
429411,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental América Latina 2018 Educación OEI Programas educación,
429410,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Malí 2018 Agricultura Irrigación Sahel,
429409,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental ARAUCLIMA 2018 Desarrollo Rural , Seguridad Alimentaria CIP Agricultura Sostenible,
429408,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Malí 2018 Género Cadena de valor del karité,
429407,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental  Programas Afro e Indígena 2018 Honduras Apoyo Fiscalía,
429406,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Masar Túnez 2018 Desarrollo local PNUD Desarrollo económico y empleo Jóvenes y Mujeres,
429405,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Masar Túnez 2018 Género Beity Ley 58-2017 Género Mujer,
429404,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental República Dominicana 2018 Cooperaión triangular,
429403,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Guatemala 2018 Género ICCPG Reducción de la violencia de género,
429402,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Palestina 2018 Rural FAO Reforma y desarrollo sector agrícola,
429401,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Níger 2018 Salud Fondo Común de Salud,
429400,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Níger 2018 SAN DNPGCA Plan contingencia,
429398,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Cuba 2018 Agua Instituto Nacional recursos Hidráulicos Apoyo a la gestión sostenible de los recursos,
429397,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Cuba 2018 Agua Grupo Trabajo Estatal Soluciones técnicas al tratamiento de aguas residuales industri,
429396,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Guatemala 2018 Construcción de infraestructuras básicas y equipamiento sanitario y educativo,
429395,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental SENEGAL 2018 Empleo jóvenes ANPEJ Autoempleo jóvenes,
429394,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Ecuador 2018 Ciencia IIIGE fase II bioetanol,
429393,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental 2018 Prog Afro Uruguay Autonomía  Económica Mujeres Afrouruguayas,
429392,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental República Dominicana 2018 Gobernabilidad Policía Nacional,
429391,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,17/12/2018,Convocatoria Instrumental Haití 2018 Gobernabilidad Apoyo al Comité de Coordinación de Ayuda Externa,
429390,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE CUENCA,17/12/2018,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Fundación Antonio Pérez, en el ejercicio 2018.,
429381,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE CUENCA,17/12/2018,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Fundación Torner, en el ejercicio 2018.,
